time_iso8601,stars_cumulative
2024-07-11 00:00:00+00:00,160
2024-07-13 00:00:00+00:00,161
2024-07-23 00:00:00+00:00,162
2024-07-24 00:00:00+00:00,163
2024-07-26 00:00:00+00:00,165
2024-07-28 00:00:00+00:00,166
2024-07-30 00:00:00+00:00,167
2024-07-31 00:00:00+00:00,168
2024-08-08 00:00:00+00:00,169
2024-08-09 00:00:00+00:00,170
2024-08-21 00:00:00+00:00,172
2024-08-22 00:00:00+00:00,173
2024-08-26 00:00:00+00:00,174
2024-08-30 00:00:00+00:00,175
2024-08-31 00:00:00+00:00,176
2024-09-08 00:00:00+00:00,177
2024-09-10 00:00:00+00:00,178
2024-09-20 00:00:00+00:00,179
2024-09-21 00:00:00+00:00,180
2024-09-29 00:00:00+00:00,181
2024-09-30 00:00:00+00:00,182
2024-10-17 00:00:00+00:00,183
2024-10-18 00:00:00+00:00,184
2024-10-19 00:00:00+00:00,185
2024-10-20 00:00:00+00:00,186
2024-10-24 00:00:00+00:00,189
2024-10-29 00:00:00+00:00,190
2024-10-30 00:00:00+00:00,191
2024-11-08 00:00:00+00:00,192
2024-11-13 00:00:00+00:00,194
2024-11-15 00:00:00+00:00,195
2024-11-21 00:00:00+00:00,196
2024-11-29 00:00:00+00:00,197
2024-12-03 00:00:00+00:00,199
2024-12-09 00:00:00+00:00,200
2024-12-12 00:00:00+00:00,201
2024-12-15 00:00:00+00:00,202
2024-12-23 00:00:00+00:00,203
2024-12-26 00:00:00+00:00,204
2024-12-29 00:00:00+00:00,205
2024-12-31 00:00:00+00:00,206
2025-01-02 00:00:00+00:00,207
2025-01-04 00:00:00+00:00,208
2025-01-05 00:00:00+00:00,209
2025-01-12 00:00:00+00:00,210
2025-01-13 00:00:00+00:00,211
2025-01-15 00:00:00+00:00,212
2025-01-18 00:00:00+00:00,213
2025-01-21 00:00:00+00:00,216
2025-02-03 00:00:00+00:00,217
2025-02-05 00:00:00+00:00,218
2025-02-14 00:00:00+00:00,219
2025-02-17 00:00:00+00:00,220
2025-02-19 00:00:00+00:00,221
2025-02-20 00:00:00+00:00,222
2025-02-27 00:00:00+00:00,224
2025-03-08 00:00:00+00:00,225
2025-03-11 00:00:00+00:00,226
2025-03-12 00:00:00+00:00,227
2025-03-13 00:00:00+00:00,228
2025-03-21 00:00:00+00:00,230
2025-03-23 00:00:00+00:00,231
2025-03-27 00:00:00+00:00,232
2025-03-30 00:00:00+00:00,234
2025-04-03 00:00:00+00:00,236
2025-04-06 00:00:00+00:00,237
2025-04-07 00:00:00+00:00,238
2025-04-10 00:00:00+00:00,239
2025-04-11 00:00:00+00:00,240
2025-04-12 00:00:00+00:00,242
2025-04-18 00:00:00+00:00,243
2025-04-24 00:00:00+00:00,244
2025-04-30 00:00:00+00:00,245
2025-05-06 00:00:00+00:00,246
2025-05-07 00:00:00+00:00,247
2025-05-09 00:00:00+00:00,248
2025-05-11 00:00:00+00:00,249
2025-05-15 00:00:00+00:00,250
2025-05-29 00:00:00+00:00,251
2025-06-01 00:00:00+00:00,252
2025-06-03 00:00:00+00:00,253
2025-06-07 00:00:00+00:00,254
2025-06-08 00:00:00+00:00,255
2025-06-10 00:00:00+00:00,256
2025-06-26 00:00:00+00:00,257
2025-06-30 00:00:00+00:00,258
2025-07-14 00:00:00+00:00,259
2025-07-19 00:00:00+00:00,260
2025-07-22 00:00:00+00:00,261
2025-07-28 00:00:00+00:00,262
2025-07-31 00:00:00+00:00,263
2025-08-02 00:00:00+00:00,264
2025-08-10 00:00:00+00:00,265
2025-08-12 00:00:00+00:00,266
2025-09-08 00:00:00+00:00,267
2025-10-10 00:00:00+00:00,268
2025-10-21 00:00:00+00:00,269
2025-10-22 00:00:00+00:00,270
2025-10-30 00:00:00+00:00,271
2025-11-14 00:00:00+00:00,272
2025-11-17 00:00:00+00:00,273
2025-11-26 00:00:00+00:00,275
2025-12-02 00:00:00+00:00,276
2025-12-03 00:00:00+00:00,277
2025-12-14 00:00:00+00:00,278
2025-12-16 00:00:00+00:00,279
2025-12-22 00:00:00+00:00,280
2025-12-23 00:00:00+00:00,281
2025-12-25 00:00:00+00:00,283
2026-01-08 00:00:00+00:00,284
2026-01-12 00:00:00+00:00,285
2026-01-17 00:00:00+00:00,286
2026-01-21 00:00:00+00:00,287
2026-01-25 00:00:00+00:00,288
2026-01-29 00:00:00+00:00,289
2026-01-30 00:00:00+00:00,290
2026-02-26 00:00:00+00:00,291
2026-02-28 00:00:00+00:00,292
2026-03-02 00:00:00+00:00,293
2026-03-09 00:00:00+00:00,294
2026-03-21 00:00:00+00:00,295
2026-03-23 00:00:00+00:00,297
2026-03-24 00:00:00+00:00,298
2026-04-17 00:00:00+00:00,299
2026-04-23 00:00:00+00:00,300
2026-04-28 00:00:00+00:00,301
2026-05-03 00:00:00+00:00,302
2026-05-17 00:00:00+00:00,303
